Company,Country,Fossil Free Funds: Coal screen,Fossil Free Funds: Oil / gas screen,Fossil Free Funds: Macroclimate30 coal-fired utility screen,Fossil Free Funds: Fossil-fired utility screen,Fossil Free Funds: Clean200 screen,Deforestation Free Funds: Producer screen,Deforestation Free Funds: Financier screen,Deforestation Free Funds: Consumer brand screen,Deforestation Free Funds: Palm oil producer screen,Deforestation Free Funds: Palm oil consumer brand screen,Deforestation Free Funds: Paper / pulp producer screen,Deforestation Free Funds: Paper / pulp consumer brand screen,Deforestation Free Funds: Rubber producer screen,Deforestation Free Funds: Rubber consumer brand screen,Deforestation Free Funds: Timber producer screen,Deforestation Free Funds: Timber consumer brand screen,Deforestation Free Funds: Cattle producer screen,Deforestation Free Funds: Cattle consumer brand screen,Deforestation Free Funds: Soy producer screen,Deforestation Free Funds: Soy consumer brand screen,Weapons Free Funds: Major military contractor screen,Weapons Free Funds: Cluster munitions / landmines screen,Weapons Free Funds: Nuclear weapons screen,Gun Free Funds: Gun manufacturers screen,Gun Free Funds: Gun retailers screen,Tobacco Free Funds: Tobacco producers screen,Tobacco Free Funds: Tobacco-promoting entertainment companies screen,Gender Equality Funds: Has Equileap gender equality score,CreatedDate,Prison Free Funds: Prison industry screen,Prison Free Funds: Border industry screen,Prison Free Funds: Higher risk screen,Prison Free Funds: Private prison operators screen,Fossil Free Funds: Fossil fuel finance screen,Fossil Free Funds: Fossil fuel finance risk score,Fossil Free Funds: Fossil fuel insurance screen,Fossil Free Funds: Fossil fuel insurance risk score,Ticker,Stock_Price,ESGScore
Lee & Man Paper Manufacturing Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, LMPMF,0.680000007,0.396825397
Lekoil Ltd,Cayman Islands,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2/16/2022,N,N,N,N,N,0,N,0, LEKOF,0.01,0.396825397
LexinFintech Holdings Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, LX,3.950000048,0.396825397
Li Ning Co Ltd,Cayman Islands,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,2/16/2022,N,N,N,N,N,0,N,0, LNNGF,10.22999954,1.19047619
Logan Property Holdings Co Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, LPHHF,0.879050016,0.396825397
Longfor Group Holdings Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, LGFRY,58.56999969,0.396825397
Manchester United PLC,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, MANU,13.82999992,0.396825397
Melco Resorts and Entertainment Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, MAS,58.86000061,0.396825397
MGM China Holdings Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, MCHVF,0.699999988,0.396825397
Minth Group Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, MNTHF,4.510000229,0.396825397
Mongolian Mining Corp,Cayman Islands,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2/16/2022,N,N,N,N,N,0,N,0, MOGLF,0.280000001,0.396825397
NagaCorp Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, NGCRF,0.939999998,0.396825397
NetEase Inc,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, NETTF,20.39999962,0.396825397
New Oriental Education & Technology Group Inc,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, EDU,17,0.396825397
Nexteer Automotive Group Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, NTXVF,1.128000021,0.396825397
NIO Inc,Cayman Islands,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, NIO,25.84000015,0.793650794
Noah Holdings Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, NOAH,32.52999878,0.396825397
Noble Corp,Cayman Islands,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2/16/2022,N,N,N,N,N,0,N,0, NE,26.86000061,0.396825397
PagSeguro Digital Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0,PAGS,18.25,0.396825397
Perennial Energy Holdings Ltd,Cayman Islands,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2/16/2022,N,N,N,N,N,0,N,0, PEZ,80.51000214,0.396825397
Pinduoduo Inc,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, PDD,62.40000153,0.396825397
Primeline Energy Holdings Inc,Cayman Islands,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2/16/2022,N,N,N,N,N,0,N,0, PMEHF,0.0002,0.396825397
Recon Technology Ltd,Cayman Islands,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2/16/2022,N,N,N,N,N,0,N,0, RCON,1.090000033,0.396825397
RLX Technology Inc,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,2/16/2022,N,N,N,N,N,0,N,0, RLX,3.970000029,0.396825397
Sands China Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, SCHYF,2.849999905,0.396825397
Sany Heavy Equipment International Holdings Co Ltd,Cayman Islands,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2/16/2022,N,N,N,N,N,0,N,0, SNYYF,1.060099959,0.396825397
Sapiens International Corp NV,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, SPNS,31.37999916,0.396825397
Sea Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, SE,146.9799957,0.396825397
Seazen Group Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, SZENF,0.699999988,0.396825397
Shelf Drilling Ltd,Cayman Islands,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2/16/2022,N,N,N,N,N,0,N,0, SHLLF,0.850000024,0.396825397
Shengli Oil & Gas Pipe Holdings Ltd,Cayman Islands,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2/16/2022,N,N,N,N,N,0,N,0, GSG,20.07999992,0.396825397
Shenzhou International Group Holdings Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, SHZHY,19.26000023,0.396825397
Shimao Group Holdings Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, SHMAY,8.829999924,0.396825397
Shui On Land Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, SOLLF,0.129999995,0.396825397
Sino Biopharmaceutical Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, SBHMY,14.03499985,0.396825397
SITC International Holdings Co Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, SITIF,0.2315,0.396825397
Smoore International Holdings Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,2/16/2022,N,N,N,N,N,0,N,0, SMORF,4.75,0.396825397
SOHO China Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, SOHOF,0.209999993,0.396825397
SPT Energy Group Inc,Cayman Islands,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2/16/2022,N,N,N,N,N,0,N,0, SEGYY,0.711600006,0.396825397
StoneCo Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, STNE,12.93999958,0.396825397
Sunac China Holdings Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, SCCCF,1.210289955,0.396825397
Sunny Optical Technology (Group) Co Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, SNPTF,24.45499992,0.396825397
TAL Education Group,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, TAL,3.75999999,0.396825397
Tencent Holdings Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, TCEHY,61.72000122,0.396825397
Tencent Music Entertainment Group,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, TME,6.230000019,0.396825397
Tethys Petroleum Ltd,Cayman Islands,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2/16/2022,N,N,N,N,N,0,N,0, TETHF,0.937099993,0.396825397
Tianneng Power International Ltd,Cayman Islands,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2/16/2022,N,N,N,N,N,0,N,0, TIANF,1.00999999,0.396825397
Tingyi (Cayman Islands) Holding Corp,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, TCYMF,2.24000001,0.396825397
Towngas Smart Energy Co Ltd,Cayman Islands,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, PGJ,36.11999893,0.793650794
Trip.com Group Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, TCOM,30.26000023,0.396825397
Uni-President China Holdings Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, UNPSF,1.029999971,0.396825397
Vantage Drilling International,Cayman Islands,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2/16/2022,N,N,N,N,N,0,N,0,VTDRF,6.099999905,0.396825397
Vinda International Holdings Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, VDAHF,2.859999895,0.396825397
Vipshop Holdings Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, VIPS,10.39000034,0.396825397
Want Want China Holdings Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, WWNTF,1.019999981,0.396825397
Weibo Corp,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, WB,32.61999893,0.396825397
WH Group Ltd,Cayman Islands,N,N,N,N,N,Y,N,Y,N,Y,N,Y,N,N,N,N,Y,Y,N,Y,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, WHGLY,14.81999969,3.174603175
Wharf Real Estate Investment Co Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, WRFRF,4.704999924,0.396825397
WuXi Biologics (Cayman) Inc,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, WXIBF,7.849999905,0.396825397
Wynn Macau Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, WYNMF,0.959999979,0.396825397
Xinyi Glass Holdings Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, XYIGF,2.776000023,0.396825397
Xinyi Solar Holdings Ltd,Cayman Islands,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, XISHY,37.22999954,0.793650794
Zai Lab Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, ZLAB,58.77999878,0.396825397
Zhongsheng Group Holdings Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, ZHSHF,7.329999924,0.396825397
ZTO Express (Cayman) Inc,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2/16/2022,N,N,N,N,N,0,N,0, ZTO,30.73999977,0.396825397
AAC Technologies Holdings Inc,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,3/16/2022,N,N,N,N,N,0,N,0, AACAF,2.539999962,0.396825397
AAG Energy Holdings Ltd,Cayman Islands,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3/16/2022,N,N,N,N,N,0,N,0, AAGEF,0.167699993,0.396825397
Agile Group Holdings Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,3/16/2022,N,N,N,N,N,0,N,0, AGPYF,0.5,0.396825397
Alibaba Group Holding Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,3/16/2022,N,N,N,N,N,0,N,0, BABA,105.7399979,0.396825397
ANTA Sports Products Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,3/16/2022,N,N,N,N,N,0,N,0, ANPDF,13.60000038,0.396825397
Anton Oilfield Services Group,Cayman Islands,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3/16/2022,N,N,N,N,N,0,N,0, ATONF,0.0623,0.396825397
ASM Pacific Technology Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,3/16/2022,N,N,N,N,N,0,N,0, ASMVF,9.640000343,0.396825397
Ausnutria Dairy Corp Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,3/16/2022,N,N,N,N,N,0,N,0, AUDYF,0.930000007,0.396825397
Autohome Inc,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,3/16/2022,N,N,N,N,N,0,N,0, ATHM,29.85000038,0.396825397
Baidu Inc,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,3/16/2022,N,N,N,N,N,0,N,0, BAIDF,17.73999977,0.396825397
BeiGene Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,3/16/2022,N,N,N,N,N,0,N,0, BGNE,195.9499969,0.396825397
BEST Inc,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,3/16/2022,N,N,N,N,N,0,N,0, BEST,2.99000001,0.396825397
Bilibili Inc,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,3/16/2022,N,N,N,N,N,0,N,0, BILI,28.09000015,0.396825397
Brooge Energy Ltd,Cayman Islands,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3/16/2022,N,N,N,N,N,0,N,0, BROG,8.279999733,0.396825397
Budweiser Brewing Co APAC Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,3/16/2022,N,N,N,N,N,0,N,0, BDWBF,3.059999943,0.396825397
China Conch Venture Holdings Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,3/16/2022,N,N,N,N,N,0,N,0, CCVTF,4.71999979,0.396825397
China Education Group Holdings Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,3/16/2022,N,N,N,N,N,0,N,0, CEGHF,1.399999976,0.396825397
China Evergrande Group,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,3/16/2022,N,N,N,N,N,0,N,0, EGRNF,0.189999998,0.396825397
China Hongqiao Group Ltd,Cayman Islands,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,3/16/2022,N,N,N,N,N,0,N,0, CHHQF,0.970000029,0.793650794
China Literature Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,3/16/2022,N,N,N,N,N,0,N,0, CHLLF,5.892399788,0.396825397
China Medical System Holdings Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,3/16/2022,N,N,N,N,N,0,N,0, CHSYF,1.75,0.396825397
China Mengniu Dairy Co Ltd,Cayman Islands,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,3/16/2022,N,N,N,N,N,0,N,0, CIADF,5.730000019,1.984126984
China Resources Cement Holdings Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,3/16/2022,N,N,N,N,N,0,N,0, CARCY,27.61000061,0.396825397
China Resources Land Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,3/16/2022,N,N,N,N,N,0,N,0, CRBJF,3.920000076,0.396825397
China State Construction International Holdings Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,3/16/2022,N,N,N,N,N,0,N,0, CCOHF,1.25,0.396825397
Chow Tai Fook Jewellery Group Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,3/16/2022,N,N,N,N,N,0,N,0, CJEWF,1.850000024,0.396825397
CIMC Enric Holdings Ltd,Cayman Islands,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3/16/2022,N,N,N,N,N,0,N,0, CIMEF,1.044999957,0.396825397
CK Asset Holdings Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,3/16/2022,N,N,N,N,N,0,N,0, CHKGF,6.449999809,0.396825397
CK Hutchison Holdings Ltd,Cayman Islands,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,Y,3/16/2022,N,N,N,N,N,0,N,0, CKHUF,6.929999828,2.380952381
Country Garden Holdings Co Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,3/16/2022,N,N,N,N,N,0,N,0, CTRYF,0.5,0.396825397
Dali Foods Group Co Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,3/16/2022,N,N,N,N,N,0,N,0, DLLFF,0.449999988,0.396825397
ENN Energy Holdings Ltd,Cayman Islands,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,3/16/2022,N,N,N,N,N,0,N,0, XNGSF,12.84000015,0.793650794
Fabrinet,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,3/16/2022,N,N,N,N,N,0,N,0,FAN,19.63999939,0.396825397
Farfetch Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,3/16/2022,N,N,N,N,N,0,N,0, FTCH,13.67000008,0.396825397
FIH Mobile Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,3/16/2022,N,N,N,N,N,0,N,0, FXCNF,0.119999997,0.396825397
FIT Hon Teng Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,3/16/2022,N,N,N,N,N,0,N,0, FITGF,0.143299997,0.396825397
Fulcrum Utility Services Ltd,Cayman Islands,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3/16/2022,N,N,N,N,N,0,N,0, FCRM,0.1611,0.396825397
Fullshare Holdings Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,3/16/2022,N,N,N,N,N,0,N,0, FLLHF,0.094999999,0.396825397
GCL-Poly Energy Holdings Ltd,Cayman Islands,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3/16/2022,N,N,N,N,N,0,N,0, GCPEF,0.300000012,0.396825397
GDS Holdings Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,3/16/2022,N,N,N,N,N,0,N,0, GDS,37.20999908,0.396825397
Geely Automobile Holdings Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,3/16/2022,N,N,N,N,N,0,N,0, GELYF,1.620000005,0.396825397
Greentown China Holdings Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,3/16/2022,N,N,N,N,N,0,N,0, GTWCF,1.399999976,0.396825397
Health and Happiness (H&H) International Holdings Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,3/16/2022,N,N,N,N,N,0,N,0, BTSDF,1.159999967,0.396825397
Hello Group Inc,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,3/16/2022,N,N,N,N,N,0,N,0, MOMO,7.360000134,0.396825397
Hengan International Group Co Ltd,Cayman Islands,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,3/16/2022,N,N,N,N,N,0,N,0, HEGIF,5.059999943,1.19047619
Herbalife Nutrition Ltd,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,3/16/2022,N,N,N,N,N,0,N,0,HLF,34.41999817,0.396825397
