Company,Country,CreatedDate,Ticker,Quantity,Stock_Price,Invested_Value,ESGScore
Kingboard Holdings Ltd,Cayman Islands,2/8/2023, KBDCF,10000,3.099999905,30999.99905,0.396825397
Kingboard Laminates Holdings Ltd,Cayman Islands,2/8/2023, KGBLF,10000,0.75,7500,0.396825397
Kingsoft Corp Ltd,Cayman Islands,2/8/2023, KSFTF,10000,3.190999985,31909.99985,0.396825397
KWG Group Holdings Ltd,Cayman Islands,2/8/2023, KWGPF,10000,0.119999997,1199.99997,0.396825397
Lee & Man Paper Manufacturing Ltd,Cayman Islands,2/8/2023, LMPMF,10000,0.370000005,3700.00005,0.396825397
Li Ning Co Ltd,Cayman Islands,2/8/2023, LNNGF,10000,9.590000153,95900.00153,1.587301587
Logan Property Holdings Co Ltd,Cayman Islands,2/8/2023, LPHHF,10000,0.879050016,8790.50016,0.396825397
Longfor Group Holdings Ltd,Cayman Islands,2/8/2023, LGFRY,10000,32.02000046,320200.0046,0.396825397
Manchester United PLC,Cayman Islands,2/8/2023, MANU,10000,24.5,245000,0.396825397
Meituan,Cayman Islands,2/8/2023, MPNGF,10000,19.10000038,191000.0038,0.396825397
Melco Resorts and Entertainment Ltd,Cayman Islands,2/8/2023, MAS,10000,54.5,545000,0.396825397
MGM China Holdings Ltd,Cayman Islands,2/8/2023, MCHVF,10000,1.190000057,11900.00057,0.396825397
MicroPort Scientific Corp,Cayman Islands,2/8/2023, MCRPF,10000,3.194999933,31949.99933,0.396825397
Minth Group Ltd,Cayman Islands,2/8/2023, MNTHF,10000,2.5,25000,0.396825397
Mongolian Mining Corp,Cayman Islands,2/8/2023, MOGLF,10000,0.409999996,4099.99996,0.396825397
NagaCorp Ltd,Cayman Islands,2/8/2023, NGCRF,10000,1,10000,0.396825397
NetEase Inc,Cayman Islands,2/8/2023, NETTF,10000,17.95999908,179599.9908,0.396825397
New Oriental Education & Technology Group Inc,Cayman Islands,2/8/2023, EDU,10000,41.90000153,419000.0153,0.396825397
Nexteer Automotive Group Ltd,Cayman Islands,2/8/2023, NTXVF,10000,0.805000007,8050.00007,0.396825397
NIO Inc,Cayman Islands,2/8/2023, NIO,10000,10.90999985,109099.9985,0.793650794
Noah Holdings Ltd,Cayman Islands,2/8/2023, NOAH,10000,20.98999977,209899.9977,0.396825397
PagSeguro Digital Ltd,Cayman Islands,2/8/2023,PAGS,10000,9.31000042,93100.0042,0.396825397
Perennial Energy Holdings Ltd,Cayman Islands,2/8/2023, PEZ,10000,69.80000305,698000.0305,0.396825397
Pinduoduo Inc,Cayman Islands,2/8/2023, PDD,10000,93.79000092,937900.0092,0.396825397
Recon Technology Ltd,Cayman Islands,2/8/2023, RCON,10000,1.700000048,17000.00048,0.396825397
RLX Technology Inc,Cayman Islands,2/8/2023, RLX,10000,2.230000019,22300.00019,0.793650794
Sands China Ltd,Cayman Islands,2/8/2023, SCHYF,10000,3.583800077,35838.00077,0.396825397
Sany Heavy Equipment International Holdings Co Ltd,Cayman Islands,2/8/2023, SNYYF,10000,1.00999999,10099.9999,0.396825397
Sapiens International Corp NV,Cayman Islands,2/8/2023, SPNS,10000,22.97999954,229799.9954,0.396825397
Sea Ltd,Cayman Islands,2/8/2023, SE,10000,69.65000153,696500.0153,0.396825397
Seazen Group Ltd,Cayman Islands,2/8/2023, SZENF,10000,0.699999988,6999.99988,0.396825397
Shelf Drilling Ltd,Cayman Islands,2/8/2023, SHLLF,10000,2.99000001,29900.0001,0.396825397
Shengli Oil & Gas Pipe Holdings Ltd,Cayman Islands,2/8/2023, GSG,10000,20.72999954,207299.9954,0.396825397
Shenzhou International Group Holdings Ltd,Cayman Islands,2/8/2023, SHZHY,10000,12.48999977,124899.9977,0.396825397
Shimao Group Holdings Ltd,Cayman Islands,2/8/2023, SHMAY,10000,5.389999866,53899.99866,0.396825397
Sino Biopharmaceutical Ltd,Cayman Islands,2/8/2023, SBHMY,10000,11.56999969,115699.9969,0.396825397
SITC International Holdings Co Ltd,Cayman Islands,2/8/2023, SITIF,10000,2.289900064,22899.00064,0.396825397
Smoore International Holdings Ltd,Cayman Islands,2/8/2023, SMORF,10000,2.154999971,21549.99971,0.396825397
SPT Energy Group Inc,Cayman Islands,2/8/2023, SEGYY,10000,0.677200019,6772.00019,0.396825397
StoneCo Ltd,Cayman Islands,2/8/2023, STNE,10000,10.46000004,104600.0004,0.396825397
Sunac China Holdings Ltd,Cayman Islands,2/8/2023, SCCCF,10000,1.210289955,12102.89955,0.396825397
Sunny Optical Technology (Group) Co Ltd,Cayman Islands,2/8/2023, SNPTF,10000,13.15999985,131599.9985,0.396825397
TAL Education Group,Cayman Islands,2/8/2023, TAL,10000,6.900000095,69000.00095,0.396825397
Tencent Holdings Ltd,Cayman Islands,2/8/2023, TCEHY,10000,48.74000168,487400.0168,0.396825397
Tencent Music Entertainment Group,Cayman Islands,2/8/2023, TME,10000,8.640000343,86400.00343,0.396825397
Tethys Petroleum Ltd,Cayman Islands,2/8/2023, TETHF,10000,0.610000014,6100.00014,0.396825397
Tianneng Power International Ltd,Cayman Islands,2/8/2023, TIANF,10000,1.159999967,11599.99967,0.396825397
Tingyi (Cayman Islands) Holding Corp,Cayman Islands,2/8/2023, TCYMF,10000,1.74000001,17400.0001,0.396825397
Towngas Smart Energy Co Ltd,Cayman Islands,2/8/2023, PGJ,10000,32.15000153,321500.0153,0.396825397
Trip.com Group Ltd,Cayman Islands,2/8/2023, TCOM,10000,37.95999908,379599.9908,0.396825397
Tuya Inc,Cayman Islands,2/8/2023, TUYA,10000,2.825000048,28250.00048,0.396825397
Uni-President China Holdings Ltd,Cayman Islands,2/8/2023, UNPSF,10000,0.768700004,7687.00004,0.396825397
Vantage Drilling Co,Cayman Islands,2/8/2023,VTGDF,10000,1.00E-04,1,0.396825397
Vantage Drilling International,Cayman Islands,2/8/2023,VTDRF,10000,14,140000,0.396825397
Vinda International Holdings Ltd,Cayman Islands,2/8/2023, VDAHF,10000,3.029999971,30299.99971,0.396825397
Vipshop Holdings Ltd,Cayman Islands,2/8/2023, VIPS,10000,14.80000019,148000.0019,0.396825397
Want Want China Holdings Ltd,Cayman Islands,2/8/2023, WWNTF,10000,0.689999998,6899.99998,0.396825397
Weibo Corp,Cayman Islands,2/8/2023, WB,10000,23.82999992,238299.9992,0.396825397
WH Group Ltd,Cayman Islands,2/8/2023, WHGLY,10000,12.11999989,121199.9989,3.174603175
Wharf Real Estate Investment Co Ltd,Cayman Islands,2/8/2023, WRFRF,10000,6.014999866,60149.99866,0.396825397
WuXi Biologics (Cayman) Inc,Cayman Islands,2/8/2023, WXIBF,10000,8.239999771,82399.99771,0.396825397
Wynn Macau Ltd,Cayman Islands,2/8/2023, WYNMF,10000,1.059999943,10599.99943,0.396825397
Xiaomi Corp,Cayman Islands,2/8/2023, XIACF,10000,1.600000024,16000.00024,0.396825397
Xinyi Glass Holdings Ltd,Cayman Islands,2/8/2023, XYIGF,10000,2.058000088,20580.00088,0.396825397
Xinyi Solar Holdings Ltd,Cayman Islands,2/8/2023, XISHY,10000,24.44000053,244400.0053,0.793650794
Zai Lab Ltd,Cayman Islands,2/8/2023, ZLAB,10000,39.77000046,397700.0046,0.396825397
Zhihu Inc,Cayman Islands,2/8/2023, ZH,10000,2.109999895,21099.99895,0.396825397
Zhongsheng Group Holdings Ltd,Cayman Islands,2/8/2023, ZHSHF,10000,5.559999943,55599.99943,0.396825397
ZTO Express (Cayman) Inc,Cayman Islands,2/8/2023, ZTO,10000,28.43899918,284389.9918,0.396825397
AAC Technologies Holdings Inc,Cayman Islands,2/24/2023, AACAF,10000,2.75,27500,0.396825397
AAG Energy Holdings Ltd,Cayman Islands,2/24/2023, AAGEF,10000,0.167699993,1676.99993,0.396825397
Agile Group Holdings Ltd,Cayman Islands,2/24/2023, AGPYF,10000,0.330000013,3300.00013,0.396825397
Alibaba Group Holding Ltd,Cayman Islands,2/24/2023, BABA,10000,91.68000031,916800.0031,0.396825397
ANTA Sports Products Ltd,Cayman Islands,2/24/2023, ANPDF,10000,13,130000,0.396825397
Anton Oilfield Services Group,Cayman Islands,2/24/2023, ATONF,10000,0.029999999,299.99999,0.396825397
ASMPT Ltd,Cayman Islands,2/24/2023, ASMVF,10000,8.75,87500,0.396825397
Ausnutria Dairy Corp Ltd,Cayman Islands,2/24/2023, AUDYF,10000,0.529999971,5299.99971,0.396825397
Autohome Inc,Cayman Islands,2/24/2023, ATHM,10000,32.09999847,320999.9847,0.396825397
Baidu Inc,Cayman Islands,2/24/2023, BAIDF,10000,17.20100021,172010.0021,0.396825397
BeiGene Ltd,Cayman Islands,2/24/2023, BGNE,10000,224.5099945,2245099.945,0.396825397
Bilibili Inc,Cayman Islands,2/24/2023, BILI,10000,20.89999962,208999.9962,0.396825397
Brooge Energy Ltd,Cayman Islands,2/24/2023, BROG,10000,5.925000191,59250.00191,0.396825397
Budweiser Brewing Co APAC Ltd,Cayman Islands,2/24/2023, BDWBF,10000,2.950000048,29500.00048,0.396825397
China Conch Venture Holdings Ltd,Cayman Islands,2/24/2023, CCVTF,10000,3.442490101,34424.90101,0.396825397
China Education Group Holdings Ltd,Cayman Islands,2/24/2023, CEGHF,10000,2,20000,0.396825397
China Evergrande Group,Cayman Islands,2/24/2023, EGRNF,10000,0.029999999,299.99999,0.396825397
China Hongqiao Group Ltd,Cayman Islands,2/24/2023, CHHQF,10000,0.920000017,9200.00017,0.396825397
China Literature Ltd,Cayman Islands,2/24/2023, CHLLF,10000,4.53000021,45300.0021,0.396825397
China Medical System Holdings Ltd,Cayman Islands,2/24/2023, CHSYF,10000,1.381000042,13810.00042,0.396825397
China Mengniu Dairy Co Ltd,Cayman Islands,2/24/2023, CIADF,10000,4.449999809,44499.99809,1.984126984
China Resources Cement Holdings Ltd,Cayman Islands,2/24/2023, CARCY,10000,17.19000053,171900.0053,0.396825397
China Resources Land Ltd,Cayman Islands,2/24/2023, CRBJF,10000,4.400000095,44000.00095,0.396825397
China State Construction International Holdings Ltd,Cayman Islands,2/24/2023, CCOHF,10000,1.169999957,11699.99957,0.396825397
Chow Tai Fook Jewellery Group Ltd,Cayman Islands,2/24/2023, CJEWF,10000,1.980000019,19800.00019,0.396825397
CIMC Enric Holdings Ltd,Cayman Islands,2/24/2023, CIMEF,10000,1.070000052,10700.00052,0.396825397
CK Asset Holdings Ltd,Cayman Islands,2/24/2023, CHKGF,10000,6.46999979,64699.9979,0.396825397
CK Hutchison Holdings Ltd,Cayman Islands,2/24/2023, CKHUF,10000,6.052999973,60529.99973,2.380952381
Country Garden Holdings Co Ltd,Cayman Islands,2/24/2023, CTRYF,10000,0.330000013,3300.00013,0.396825397
Country Garden Services Holdings Co Ltd,Cayman Islands,2/24/2023, CGSHY,10000,1.868000031,18680.00031,0.396825397
Dali Foods Group Co Ltd,Cayman Islands,2/24/2023, DLLFF,10000,0.421000004,4210.00004,0.396825397
Dingdong (Cayman) Ltd,Cayman Islands,2/24/2023, DDL,10000,4.775000095,47750.00095,0.396825397
Diversey Holdings Ltd,Cayman Islands,2/24/2023,DSEY,10000,5.813000202,58130.00202,0.396825397
DLocal Ltd,Cayman Islands,2/24/2023,DLO,10000,15.11999989,151199.9989,0.396825397
ENN Energy Holdings Ltd,Cayman Islands,2/24/2023, XNGSF,10000,14.89999962,148999.9962,0.793650794
ESR Group Ltd,Cayman Islands,2/24/2023, ESRCF,10000,1.74000001,17400.0001,0.396825397
Fabrinet,Cayman Islands,2/24/2023,FAN,10000,17.28000069,172800.0069,0.396825397
Farfetch Ltd,Cayman Islands,2/24/2023, FTCH,10000,5.679999828,56799.99828,0.396825397
Fenikso Ltd,Cayman Islands,2/24/2023,FNK,10000,46.68999863,466899.9863,0.396825397
FIT Hon Teng Ltd,Cayman Islands,2/24/2023, FITGF,10000,0.243900001,2439.00001,0.396825397
Full Truck Alliance Co Ltd,Cayman Islands,2/24/2023, YMM,10000,6.84499979,68449.9979,0.396825397
Galaxy Digital Holdings Ltd,Cayman Islands,2/24/2023, BRPHF,10000,3.785000086,37850.00086,0.396825397
GCL Technology Holdings Ltd,Cayman Islands,2/24/2023, GCPEF,10000,0.270000011,2700.00011,0.396825397
GDS Holdings Ltd,Cayman Islands,2/24/2023, GDS,10000,19.37999916,193799.9916,0.396825397
Geely Automobile Holdings Ltd,Cayman Islands,2/24/2023, GELYF,10000,1.399999976,13999.99976,0.793650794
GLOBALFOUNDRIES Inc,Cayman Islands,2/24/2023, GFS,10000,64.94000244,649400.0244,0.396825397
Greentown China Holdings Ltd,Cayman Islands,2/24/2023, GTWCF,10000,1.629999995,16299.99995,0.396825397
H World Group Ltd,Cayman Islands,2/24/2023, HTHT,10000,48.95999908,489599.9908,0.396825397
Haidilao International Holding Ltd,Cayman Islands,2/24/2023, HDALF,10000,2.599999905,25999.99905,0.396825397
Health and Happiness (H&H) International Holdings Ltd,Cayman Islands,2/24/2023, BTSDF,10000,2,20000,0.396825397
Hello Group Inc,Cayman Islands,2/24/2023, MOMO,10000,8.949999809,89499.99809,0.396825397
Hengan International Group Co Ltd,Cayman Islands,2/24/2023, HEGIF,10000,4.71999979,47199.9979,1.19047619
Herbalife Nutrition Ltd,Cayman Islands,2/24/2023,HLF,10000,19.65999985,196599.9985,0.396825397
Hidili Industry International Development Ltd,Cayman Islands,2/24/2023, HIIDQ,10000,6.860000134,68600.00134,0.396825397
HKT Trust and HKT Ltd,Cayman Islands,2/24/2023, HKTTF,10000,1.222100019,12221.00019,0.396825397
HUTCHMED (China) Ltd,Cayman Islands,2/24/2023, HCM,10000,16.02000046,160200.0046,0.396825397
Indonesia Energy Corp Ltd,Cayman Islands,2/24/2023,INDO,10000,5.849999905,58499.99905,0.396825397
JD.com Inc,Cayman Islands,2/24/2023, JD,10000,45.56499863,455649.9863,0.396825397
JinkoSolar Holding Co Ltd,Cayman Islands,2/24/2023, JKS,10000,52.59999847,525999.9847,0.396825397
JOYY Inc,Cayman Islands,2/24/2023, YY,10000,31.84000015,318400.0015,0.396825397
JS Global Lifestyle Co Ltd,Cayman Islands,2/24/2023, JGLCF,10000,1.00999999,10099.9999,0.396825397
Jutal Offshore Oil Services Ltd,Cayman Islands,2/24/2023, JUTOY,10000,24.65999985,246599.9985,0.396825397
Kanzhun Ltd,Cayman Islands,2/24/2023, BZ,10000,21.13500023,211350.0023,0.396825397
Kingboard Holdings Ltd,Cayman Islands,2/24/2023, KBDCF,10000,3.099999905,30999.99905,0.396825397
Kingboard Laminates Holdings Ltd,Cayman Islands,2/24/2023, KGBLF,10000,0.75,7500,0.396825397
Kingsoft Corp Ltd,Cayman Islands,2/24/2023, KSFTF,10000,3.190999985,31909.99985,0.396825397
KWG Group Holdings Ltd,Cayman Islands,2/24/2023, KWGPF,10000,0.119999997,1199.99997,0.396825397
Lee & Man Paper Manufacturing Ltd,Cayman Islands,2/24/2023, LMPMF,10000,0.370000005,3700.00005,0.396825397
Li Auto Inc,Cayman Islands,2/24/2023, LI,10000,23.61599922,236159.9922,0.396825397
Li Ning Co Ltd,Cayman Islands,2/24/2023, LNNGF,10000,8.520000458,85200.00458,1.587301587
Logan Property Holdings Co Ltd,Cayman Islands,2/24/2023, LPHHF,10000,0.879050016,8790.50016,0.396825397
Longfor Group Holdings Ltd,Cayman Islands,2/24/2023, LGFRY,10000,30.02000046,300200.0046,0.396825397
Manchester United PLC,Cayman Islands,2/24/2023, MANU,10000,22.90999985,229099.9985,0.396825397
Meituan,Cayman Islands,2/24/2023, MPNGF,10000,16.79999924,167999.9924,0.396825397
Melco Resorts and Entertainment Ltd,Cayman Islands,2/24/2023, MAS,10000,52.70000076,527000.0076,0.396825397
MGM China Holdings Ltd,Cayman Islands,2/24/2023, MCHVF,10000,1.190000057,11900.00057,0.396825397
MicroPort Scientific Corp,Cayman Islands,2/24/2023, MCRPF,10000,3.150000095,31500.00095,0.396825397
Minth Group Ltd,Cayman Islands,2/24/2023, MNTHF,10000,2.5,25000,0.396825397
Mongolian Mining Corp,Cayman Islands,2/24/2023, MOGLF,10000,0.430000007,4300.00007,0.396825397
NagaCorp Ltd,Cayman Islands,2/24/2023, NGCRF,10000,0.850000024,8500.00024,0.396825397
NetEase Inc,Cayman Islands,2/24/2023, NETTF,10000,15.88599968,158859.9968,0.396825397
New Oriental Education & Technology Group Inc,Cayman Islands,2/24/2023, EDU,10000,42.40000153,424000.0153,0.396825397
Nexteer Automotive Group Ltd,Cayman Islands,2/24/2023, NTXVF,10000,0.68599999,6859.9999,0.396825397
NIO Inc,Cayman Islands,2/24/2023, NIO,10000,9.520000458,95200.00458,0.793650794
Noah Holdings Ltd,Cayman Islands,2/24/2023, NOAH,10000,18.93000031,189300.0031,0.396825397
PagSeguro Digital Ltd,Cayman Islands,2/24/2023,PAGS,10000,8.960000038,89600.00038,0.396825397
Perennial Energy Holdings Ltd,Cayman Islands,2/24/2023, PEZ,10000,69.16000366,691600.0366,0.396825397
Pinduoduo Inc,Cayman Islands,2/24/2023, PDD,10000,86,860000,0.396825397
Recon Technology Ltd,Cayman Islands,2/24/2023, RCON,10000,1.769999981,17699.99981,0.396825397
RLX Technology Inc,Cayman Islands,2/24/2023, RLX,10000,2.099999905,20999.99905,0.793650794
Sands China Ltd,Cayman Islands,2/24/2023, SCHYF,10000,3.50999999,35099.9999,0.396825397
Sany Heavy Equipment International Holdings Co Ltd,Cayman Islands,2/24/2023, SNYYF,10000,1.019999981,10199.99981,0.396825397
Sapiens International Corp NV,Cayman Islands,2/24/2023, SPNS,10000,21.11000061,211100.0061,0.396825397
Sea Ltd,Cayman Islands,2/24/2023, SE,10000,60.54000092,605400.0092,0.396825397
Seazen Group Ltd,Cayman Islands,2/24/2023, SZENF,10000,0.699999988,6999.99988,0.396825397
Shelf Drilling Ltd,Cayman Islands,2/24/2023, SHLLF,10000,3.079999924,30799.99924,0.396825397
Shengli Oil & Gas Pipe Holdings Ltd,Cayman Islands,2/24/2023, GSG,10000,20.22999954,202299.9954,0.396825397
Shenzhou International Group Holdings Ltd,Cayman Islands,2/24/2023, SHZHY,10000,10.86999989,108699.9989,0.396825397
Shimao Group Holdings Ltd,Cayman Islands,2/24/2023, SHMAY,10000,5.389999866,53899.99866,0.396825397
Sino Biopharmaceutical Ltd,Cayman Islands,2/24/2023, SBHMY,10000,10.77999973,107799.9973,0.396825397
SITC International Holdings Co Ltd,Cayman Islands,2/24/2023, SITIF,10000,2.099999905,20999.99905,0.396825397
Smoore International Holdings Ltd,Cayman Islands,2/24/2023, SMORF,10000,2.154999971,21549.99971,0.396825397
SPT Energy Group Inc,Cayman Islands,2/24/2023, SEGYY,10000,0.652750015,6527.50015,0.396825397
StoneCo Ltd,Cayman Islands,2/24/2023, STNE,10000,8.890000343,88900.00343,0.396825397
Sunac China Holdings Ltd,Cayman Islands,2/24/2023, SCCCF,10000,1.210289955,12102.89955,0.396825397
Sunny Optical Technology (Group) Co Ltd,Cayman Islands,2/24/2023, SNPTF,10000,11.97999954,119799.9954,0.396825397
TAL Education Group,Cayman Islands,2/24/2023, TAL,10000,7.199999809,71999.99809,0.396825397
Tencent Holdings Ltd,Cayman Islands,2/24/2023, TCEHY,10000,44.11000061,441100.0061,0.396825397
Tencent Music Entertainment Group,Cayman Islands,2/24/2023, TME,10000,7.599999905,75999.99905,0.396825397
Tethys Petroleum Ltd,Cayman Islands,2/24/2023, TETHF,10000,0.57950002,5795.0002,0.396825397
Tianneng Power International Ltd,Cayman Islands,2/24/2023, TIANF,10000,1.159999967,11599.99967,0.396825397
Tingyi (Cayman Islands) Holding Corp,Cayman Islands,2/24/2023, TCYMF,10000,1.74000001,17400.0001,0.396825397
Towngas Smart Energy Co Ltd,Cayman Islands,2/24/2023, PGJ,10000,28.72999954,287299.9954,0.396825397
Trip.com Group Ltd,Cayman Islands,2/24/2023, TCOM,10000,35.27000046,352700.0046,0.396825397
Tuya Inc,Cayman Islands,2/24/2023, TUYA,10000,2.194999933,21949.99933,0.396825397
Uni-President China Holdings Ltd,Cayman Islands,2/24/2023, UNPSF,10000,0.768700004,7687.00004,0.396825397
Vantage Drilling Co,Cayman Islands,2/24/2023,VTGDF,10000,1.00E-04,1,0.396825397
Vantage Drilling International,Cayman Islands,2/24/2023,VTDRF,10000,16.125,161250,0.396825397
Vinda International Holdings Ltd,Cayman Islands,2/24/2023, VDAHF,10000,3.029999971,30299.99971,0.396825397
Vipshop Holdings Ltd,Cayman Islands,2/24/2023, VIPS,10000,13.90999985,139099.9985,0.396825397
Want Want China Holdings Ltd,Cayman Islands,2/24/2023, WWNTF,10000,0.589999974,5899.99974,0.396825397
Weibo Corp,Cayman Islands,2/24/2023, WB,10000,20.67000008,206700.0008,0.396825397
WH Group Ltd,Cayman Islands,2/24/2023, WHGLY,10000,11.98999977,119899.9977,3.174603175
Wharf Real Estate Investment Co Ltd,Cayman Islands,2/24/2023, WRFRF,10000,5.550000191,55500.00191,0.396825397
WuXi Biologics (Cayman) Inc,Cayman Islands,2/24/2023, WXIBF,10000,6.829999924,68299.99924,0.396825397
Wynn Macau Ltd,Cayman Islands,2/24/2023, WYNMF,10000,1.029999971,10299.99971,0.396825397
Xiaomi Corp,Cayman Islands,2/24/2023, XIACF,10000,1.50999999,15099.9999,0.396825397
Xinyi Glass Holdings Ltd,Cayman Islands,2/24/2023, XYIGF,10000,1.942000031,19420.00031,0.396825397
Xinyi Solar Holdings Ltd,Cayman Islands,2/24/2023, XISHY,10000,23.70000076,237000.0076,0.793650794
Yadea Group Holdings Ltd,Cayman Islands,2/24/2023, YADGF,10000,1.929999948,19299.99948,0.396825397
Zai Lab Ltd,Cayman Islands,2/24/2023, ZLAB,10000,36.02999878,360299.9878,0.396825397
Zhihu Inc,Cayman Islands,2/24/2023, ZH,10000,1.50999999,15099.9999,0.396825397
Zhongsheng Group Holdings Ltd,Cayman Islands,2/24/2023, ZHSHF,10000,5.510000229,55100.00229,0.396825397
ZTO Express (Cayman) Inc,Cayman Islands,2/24/2023, ZTO,10000,24.71999931,247199.9931,0.396825397
AAC Technologies Holdings Inc,Cayman Islands,3/9/2023, AACAF,10000,2.25999999,22599.9999,0.396825397
AAG Energy Holdings Ltd,Cayman Islands,3/9/2023, AAGEF,10000,0.167699993,1676.99993,0.396825397
Agile Group Holdings Ltd,Cayman Islands,3/9/2023, AGPYF,10000,0.330000013,3300.00013,0.396825397
Alibaba Group Holding Ltd,Cayman Islands,3/9/2023, BABA,10000,85.69000244,856900.0244,0.396825397
Ambarella Inc,Cayman Islands,3/9/2023, AMBA,10000,84.55999756,845599.9756,0.396825397
AMTD Digital Inc,Cayman Islands,3/9/2023,HKD,10000,8.489999771,84899.99771,0.396825397
ANTA Sports Products Ltd,Cayman Islands,3/9/2023, ANPDF,10000,12.95199966,129519.9966,0.396825397
Anton Oilfield Services Group,Cayman Islands,3/9/2023, ATONF,10000,0.029999999,299.99999,0.396825397
ASMPT Ltd,Cayman Islands,3/9/2023, ASMVF,10000,8.75,87500,0.396825397
Ausnutria Dairy Corp Ltd,Cayman Islands,3/9/2023, AUDYF,10000,0.529999971,5299.99971,0.396825397
Autohome Inc,Cayman Islands,3/9/2023, ATHM,10000,30.30999947,303099.9947,0.396825397
Baidu Inc,Cayman Islands,3/9/2023, BAIDF,10000,17.12336922,171233.6922,0.396825397
BeiGene Ltd,Cayman Islands,3/9/2023, BGNE,10000,224.9799957,2249799.957,0.396825397
Bilibili Inc,Cayman Islands,3/9/2023, BILI,10000,19.63999939,196399.9939,0.396825397
Brooge Energy Ltd,Cayman Islands,3/9/2023, BROG,10000,5.579999924,55799.99924,0.396825397
Budweiser Brewing Co APAC Ltd,Cayman Islands,3/9/2023, BDWBF,10000,3.119999886,31199.99886,0.396825397
China Conch Venture Holdings Ltd,Cayman Islands,3/9/2023, CCVTF,10000,3.442490101,34424.90101,0.396825397
China Education Group Holdings Ltd,Cayman Islands,3/9/2023, CEGHF,10000,2,20000,0.396825397
China Evergrande Group,Cayman Islands,3/9/2023, EGRNF,10000,0.079999998,799.99998,0.396825397
China Hongqiao Group Ltd,Cayman Islands,3/9/2023, CHHQF,10000,0.920000017,9200.00017,0.396825397
China Literature Ltd,Cayman Islands,3/9/2023, CHLLF,10000,4.53000021,45300.0021,0.396825397
China Medical System Holdings Ltd,Cayman Islands,3/9/2023, CHSYF,10000,1.381000042,13810.00042,0.396825397
China Mengniu Dairy Co Ltd,Cayman Islands,3/9/2023, CIADF,10000,4.449999809,44499.99809,1.984126984
China Resources Cement Holdings Ltd,Cayman Islands,3/9/2023, CARCY,10000,16.36000061,163600.0061,0.396825397
China Resources Land Ltd,Cayman Islands,3/9/2023, CRBJF,10000,4.400000095,44000.00095,0.396825397
China State Construction International Holdings Ltd,Cayman Islands,3/9/2023, CCOHF,10000,1.169999957,11699.99957,0.396825397
Chow Tai Fook Jewellery Group Ltd,Cayman Islands,3/9/2023, CJEWF,10000,1.980000019,19800.00019,0.396825397
CIMC Enric Holdings Ltd,Cayman Islands,3/9/2023, CIMEF,10000,1.070000052,10700.00052,0.396825397
CK Asset Holdings Ltd,Cayman Islands,3/9/2023, CHKGF,10000,6.269999981,62699.99981,0.396825397
CK Hutchison Holdings Ltd,Cayman Islands,3/9/2023, CKHUF,10000,6.09250021,60925.0021,2.380952381
Country Garden Holdings Co Ltd,Cayman Islands,3/9/2023, CTRYF,10000,0.289999992,2899.99992,0.396825397
Country Garden Services Holdings Co Ltd,Cayman Islands,3/9/2023, CGSHY,10000,1.742499948,17424.99948,0.396825397
Dali Foods Group Co Ltd,Cayman Islands,3/9/2023, DLLFF,10000,0.421000004,4210.00004,0.396825397
Dingdong (Cayman) Ltd,Cayman Islands,3/9/2023, DDL,10000,4.849999905,48499.99905,0.396825397
Diversey Holdings Ltd,Cayman Islands,3/9/2023,DSEY,10000,8.140000343,81400.00343,0.396825397
DLocal Ltd,Cayman Islands,3/9/2023,DLO,10000,15.57999992,155799.9992,0.396825397
ENN Energy Holdings Ltd,Cayman Islands,3/9/2023, XNGSF,10000,14.85999966,148599.9966,0.793650794
ESR Group Ltd,Cayman Islands,3/9/2023, ESRCF,10000,1.600000024,16000.00024,0.396825397
Fabrinet,Cayman Islands,3/9/2023,FAN,10000,17.65999985,176599.9985,0.396825397
Farfetch Ltd,Cayman Islands,3/9/2023, FTCH,10000,5.079999924,50799.99924,0.396825397
Fenikso Ltd,Cayman Islands,3/9/2023,FNK,10000,46.18999863,461899.9863,0.396825397
FIT Hon Teng Ltd,Cayman Islands,3/9/2023, FITGF,10000,0.286199987,2861.99987,0.396825397
Full Truck Alliance Co Ltd,Cayman Islands,3/9/2023, YMM,10000,7.784999847,77849.99847,0.396825397
Futu Holdings Ltd,Cayman Islands,3/9/2023, FUTU,10000,47.70500183,477050.0183,0.396825397
Galaxy Digital Holdings Ltd,Cayman Islands,3/9/2023, BRPHF,10000,3.079999924,30799.99924,0.396825397
GCL Technology Holdings Ltd,Cayman Islands,3/9/2023, GCPEF,10000,0.25999999,2599.9999,0.396825397
GDS Holdings Ltd,Cayman Islands,3/9/2023, GDS,10000,16.72999954,167299.9954,0.396825397
Geely Automobile Holdings Ltd,Cayman Islands,3/9/2023, GELYF,10000,1.299999952,12999.99952,0.793650794
GLOBALFOUNDRIES Inc,Cayman Islands,3/9/2023, GFS,10000,68.59999847,685999.9847,0.396825397
Greentown China Holdings Ltd,Cayman Islands,3/9/2023, GTWCF,10000,1.629999995,16299.99995,0.396825397
H World Group Ltd,Cayman Islands,3/9/2023, HTHT,10000,49.86000061,498600.0061,0.396825397
Haidilao International Holding Ltd,Cayman Islands,3/9/2023, HDALF,10000,2.75999999,27599.9999,0.396825397
Health and Happiness (H&H) International Holdings Ltd,Cayman Islands,3/9/2023, BTSDF,10000,1.659999967,16599.99967,0.396825397
